paper_id,context,factor,human_score,council_score,absolute_difference,audit_priority,source_markdown,source_location,source_evidence_summary,supports_human_direction,supports_council_direction,ambiguous_or_insufficient,adjudicator_id,adjudication_note
Nejad2025,LO,LO-F17,-1.0,0.8,1.8,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Greedy2022,GO,GO-F17,-1.0,0.633,1.633,High (|diff| >= 0.50),Greedy2022-vllm-deepread_compressed.md,,,,,,,
Greedy2022,LO,LO-F17,-1.0,0.567,1.567,High (|diff| >= 0.50),Greedy2022-vllm-deepread_compressed.md,,,,,,,
Greedy2022,LO,LO-F23,-0.6,0.9,1.5,High (|diff| >= 0.50),Greedy2022-vllm-deepread_compressed.md,,,,,,,
Greedy2022,GO,GO-F23,-0.6,0.867,1.467,High (|diff| >= 0.50),Greedy2022-vllm-deepread_compressed.md,,,,,,,
Nejad2025,LO,LO-F23,-0.6,0.825,1.425,High (|diff| >= 0.50),Nejad2025-vllm-deepread_compressed.md,,,,,,,
Mikulasch2023,LO,LO-F17,-0.6,0.75,1.35,High (|diff| >= 0.50),Mikulasch2023-vllm-deepread_compressed.md,,,,,,,
Furutachi2024,LO,LO-F17,-0.6,0.75,1.35,High (|diff| >= 0.50),Furutachi2024-vllm-deepread_compressed.md,,,,,,,
Keller2018,LO,LO-F17,-0.6,0.733,1.333,High (|diff| >= 0.50),Keller2018-vllm-deepread_compressed.md,,,,,,,
Greedy2022,LO,LO-F13,-0.6,0.7,1.3,High (|diff| >= 0.50),Greedy2022-vllm-deepread_compressed.md,,,,,,,
Keller2018,GO,GO-F17,-0.6,0.657,1.257,High (|diff| >= 0.50),Keller2018-vllm-deepread_compressed.md,,,,,,,
Sacramento2018,LO,LO-F17,-1.0,0.25,1.25,High (|diff| >= 0.50),Sacramento2018-vllm-deepread_compressed.md,,,,,,,
Garret2020,GO,GO-F12,1.0,-0.225,1.225,High (|diff| >= 0.50),Garret2020-vllm-deepread_compressed.md,,,,,,,
Bekinschtein2009,LO,LO-F36,0.6,-0.6,1.2,High (|diff| >= 0.50),Bekinschtein2009-vllm-deepread_compressed.md,,,,,,,
