claim_id,reviewer_concern,result_id,claim_type,observational_unit,sample_size_N,point_estimates,statistical_test_or_interval,concordance_or_reliability,manuscript_context
CLM-HUMAN-01,Major 1,RES-MAJ1-04,DESCRIPTIVE,Nested Factor Cell (299 overlapping cells nested in 25 papers),299,"r = +0.3896, Spearman rho = +0.3225, MAE = 0.3077, MSD = 0.1779",Descriptive summary (factor-cell p-values omitted to avoid pseudo-replication),"Directional sign concordance = 88.96% (all 266/299), 94.33% (strictly non-zero 266/282)",Independent human domain expert inter-rater reliability (H1 vs H2)
CLM-HUMAN-02,Major 1,RES-MAJ1-03,DESCRIPTIVE,Nested Factor Cell (175 consensus cells nested in 25 papers),175,"r = +0.1616, Spearman rho = +0.2408, MAE = 0.3006, MSD = 0.1431, bias = -0.1634",Primary human validation baseline on available consensus support,Strictly non-zero directional concordance = 97.02% (163 / 168 non-zero cells); all-cells = 93.14% (163/175),"Two-human consensus (H12, n>=2) vs Autonomous Council (Primary Validation)"
CLM-HUMAN-03,Major 1,RES-MAJ1-05,DESCRIPTIVE,Nested Factor Cell (168 common-support intersection cells),168,"Full council baseline r = +0.1876, Spearman rho = +0.2408, MAE = 0.3006, bias = -0.1634",Fixed intersection baseline across all 9 council LOO conditions,Strictly non-zero directional concordance = 96.91% (157 / 162 non-zero cells),Council Leave-One-Model-Out Fixed Common-Support Baseline
CLM-HUMAN-04,Major 1,RES-MAJ1-05,DESCRIPTIVE_SENSITIVITY,Omitted council models (m=1..8),8,"Max influence Ir = 0.2143 (r in [0.3236, 0.4019]), Max influence I_MAE = 0.1054 (MAE in [0.1952, 0.2299])",Evaluator sensitivity on fixed common support (N=168),Directional concordance remained similar across single-model omissions (95.21% to 95.81%),Council model influence on human correspondence
CLM-ROBUST-01,Major 2,RES-MAJ2-02,DESCRIPTIVE_SWEEP,Repeated inference calls (837 calls nested in 31 papers x 3 models x 3 temps x 3 repeats),837,"Inter-repeat MAE = 0.0126 (T=0.00), 0.0384 (T=0.35), 0.0585 (T=0.70); mean r in [0.9444, 0.9905]","Temperature stability r = 0.9900 (T=0.00 vs 0.35, MAE=0.0266), r = 0.9760 (T=0.00 vs 0.70, MAE=0.0421)","Parse recovery rate = 100.0%; Paper-ranking stability rho = 0.9596 (T=0.35), rho = 0.9212 (T=0.70)",Deterministic and stochastic temperature sweep stability
CLM-LOMO-01,Major 2,RES-MAJ2-03,DESCRIPTIVE_SENSITIVITY,Omitted council models (m=1..8),8,"Full council baseline displacement = -0.0972 (N=177), LOMO range = [-0.1046, -0.0928]",Max deviation from baseline = 0.0074 across 8 models,Negative literature displacement direction preserved across all 8 omission conditions,Autonomous council leave-one-model-out literature displacement
CLM-WEST-01,Major 2 / Corpus,RES-MAJ2-04,INFERENTIAL_AND_DESCRIPTIVE,Paired paper displacement mean (N=28 full vs N=27 excluded),28,Full paired corpus delta = -0.0177; Westerberg 2025 single-study delta = -1.2985; Excluded corpus delta = +0.0297,"Full corpus: t(27) = -0.361, p = 0.7208, Wilcoxon W = 24.0, p = 0.0736; Excluded: t(26) = +2.302, p = 0.0296, Wilcoxon W = 10.0, p = 0.0131",Aggregate displacement sign flips from negative to positive upon single-study exclusion (transparently reported),Westerberg & Xiong (2025) single-study corpus sensitivity
CLM-EVID-01,Major 3,RES-MAJ3-02,DESCRIPTIVE_CONTRAST,Ablation condition contrast (54 experimental calls across 6 papers),54,"Full-Text vs Masked/De-identified r = +0.9937, MAE = 0.0089; Full-Text vs Abstract-Only r = +0.7274, MAE = 0.0758",Controlled factorial ablation (6 papers x 3 conditions x 3 repeats),Masked text produces highly similar scores to full text; abstract omission causes larger deviations,Evidence-vs-prior experimental sensitivity ablation
CLM-FIG4-01,Major 2 / Permutations,RES-MAJ2-05,INFERENTIAL_MONTE_CARLO,"Permutation null iteration (B=10,000)",10000,"Observed council baseline MSD = 0.1738; Full-shuffle null MSD = 0.3350 [0.3168, 0.3543]; Block-shuffle null MSD = 0.3301 [0.3130, 0.3483]","Empirical p = 0.0001 (lower tail: null_msd <= obs_msd, 0/10000 permutations)",Observed council consensus MSD is significantly lower than both global and block permutation nulls,Figure 4 null permutation distribution reproduction
CLM-CORP-01,Major 3 / Corpus Registry,RES-CORP-01,DESCRIPTIVE_CATALOG,Canonical peer-reviewed study (N=31),31,31 canonical studies spanning 1982-2025 across 8 distinct empirical/computational modalities,"Bibliographic catalog with verified DOIs, licenses, and SHA-256 provenance hashes",100% of 31 corpus inputs verified against canonical registry,Canonical 31-paper literature corpus catalog
