evaluator_or_model,study,source_path,archive_path,status,sha256,score_table_identifier
unknown,Attinger2017_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Attinger2017_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Attinger2017_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,53d254539d1744e6abf168197b7f1d51f54e269994c60833a275c298ec3e0536,hpc_ag_table
unknown,Bakhtiari2021_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Bakhtiari2021_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Bakhtiari2021_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,869cb872d5ba93dbb2f1c498733ceca07bb0783bbfdbdf40731df9f0196107f1,hpc_ag_table
unknown,Bastos2012_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Bastos2012_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Bastos2012_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,65e7bd0a88285838f1bbc06abbf6f1545d81d05b142889676b4a794c847136f7,hpc_ag_table
unknown,Bastos2020_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Bastos2020_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Bastos2020_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,9b661107d5f0251278b2b79d01b9bee7ad467b5a3810969517f683321d597ae9,hpc_ag_table
unknown,Bekinschtein2009_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Bekinschtein2009_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Bekinschtein2009_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,fca09a899ee605910df2132d94e5a76982198527d17f7bebeeeb26ac0cf0aab8,hpc_ag_table
unknown,Chao2018_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Chao2018_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Chao2018_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,7b2961f69419156bf3e8bb7f5297578195d8bd8d15d970d983abe3babe409726,hpc_ag_table
unknown,Friston2010_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Friston2010_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Friston2010_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,faa7ed0d18e2f23623bbf39d4679f0f8858fb5a9c548009a0eb06dc2d14064cf,hpc_ag_table
unknown,Furutachi2024_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Furutachi2024_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Furutachi2024_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,38ae3e456b6852a92993f28e4504eb94b2de0918adebfd6a21083ed7d2ee2ced,hpc_ag_table
unknown,Garret2020_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Garret2020_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Garret2020_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,7c8cf1a25d45dabf9159941f44222eac290c55bda94c7bdb324754b27ad01c71,hpc_ag_table
unknown,Greedy2022_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Greedy2022_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Greedy2022_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,29871148693865c6ca23dde791f91cfa42c65ba83b84ecf35cc46bc63db917d8,hpc_ag_table
unknown,Hertag2020_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Hertag2020_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Hertag2020_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,cc70a18bec1d873568aab09ff5c3921df18b50c432086eeda254f3a8cb447859,hpc_ag_table
unknown,Jiang&Rao2024_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Jiang&Rao2024_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Jiang&Rao2024_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,ffd549dfd59b60ed298e43754ec6e7efb413a48ef649834b66db07803a9aa4b1,hpc_ag_table
unknown,Keller2012_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Keller2012_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Keller2012_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,47d3f410c55b4e54b94e4917f46dddcbf2a19df20c9e470e9dce061ffca405f5,hpc_ag_table
unknown,Keller2018_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Keller2018_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Keller2018_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,8f7646f3964734be48157e6cfec7f4ce71eee6f66444ce5908bf330df4544acc,hpc_ag_table
unknown,Kiebel2008_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Kiebel2008_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Kiebel2008_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,824a4beee55929dfd259d39d25726db4c9deeb440f819d34b0dbbbfc0276670c,hpc_ag_table
unknown,LaoRodriguez2023_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/LaoRodriguez2023_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/LaoRodriguez2023_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,50fc9205888b876f45a5bd1b910515f10d2b422dc38fe4cbe52803caf332a932,hpc_ag_table
unknown,LeeMejias2025_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/LeeMejias2025_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/LeeMejias2025_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,55bd63042d02c1c980ee1a8f09a996a198ae7c9a3809fca7b71a0cd9d7b26148,hpc_ag_table
unknown,Mikulasch2023_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Mikulasch2023_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Mikulasch2023_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,151fc0033db5d3258f2bf7b38c0fcb241fa13b76ef84c4b40707ac37b1d7201d,hpc_ag_table
unknown,Nejad2025_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Nejad2025_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Nejad2025_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,3c88b9d0217f15314bc88d19198a45c39c113a60a1c9da3a103b8fab2ab39b1f,hpc_ag_table
unknown,Payeur2021_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Payeur2021_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Payeur2021_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,6596c41b077d50435602e1cc3b45f69eb633da861613c390db8227e1ebde2643,hpc_ag_table
unknown,Rao&Ballard1999_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Rao&Ballard1999_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Rao&Ballard1999_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,5154107c7471459c54c6b9ee210ba36fe4f98c33f5821ce42ff15b2a608fb7d6,hpc_ag_table
unknown,Rao2024_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Rao2024_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Rao2024_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,5a12557d8202b1714527d3e603b5b75b9d42c49b3b03594748b489a857818715,hpc_ag_table
unknown,Sacramento2018_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Sacramento2018_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Sacramento2018_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,24bb8862285be5ad97dbfa69cb334ed307089cb2d53f5122293dcaeb2a320e3c,hpc_ag_table
unknown,Spratling2008_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Spratling2008_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Spratling2008_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,16e2907ff1c6bc87d364c063ab7fc0ae2e0120641800f2a372df4de13c89759b,hpc_ag_table
unknown,Spratling2010_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Spratling2010_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Spratling2010_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,629ded05b0014d708f03a18e1c3e04664eeab0f429db2562d8b5e586c3339653,hpc_ag_table
unknown,Srinivasan1982_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Srinivasan1982_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Srinivasan1982_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,26460852903b588ffe03a4ef235dcfe05bebd9a4666458c205e22e164f156c47,hpc_ag_table
unknown,VanDerveer2021_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/VanDerveer2021_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/VanDerveer2021_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,3ceffbf421b8665ba5d5c9cf3417c969101c2dea4541f3ee3b508190fd2767d8,hpc_ag_table
unknown,Wacongne2011_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Wacongne2011_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Wacongne2011_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,c1c886b6720e1dddfcbdae79dd4a1fc9c2a60ebbbcf23f71d74ef2f48898ce57,hpc_ag_table
unknown,Wacongne2012_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Wacongne2012_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Wacongne2012_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,152a1de672bbd33d148e8d48e5e50c91c6c34611055256d180c7287635ae1a46,hpc_ag_table
unknown,Westerberg&Xiong2025_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Westerberg&Xiong2025_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Westerberg&Xiong2025_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,9f4625a161bfb05201a2a63f8cc9ac43c1905b13faa9e05a239accc0c88893c0,hpc_ag_table
unknown,Yamins2014_gemma-4-e4b-it-mxfp8_HPC_run1,content/outputs/Yamins2014_gemma-4-e4b-it-mxfp8_HPC_run1.json,data/reasoning_logs/Yamins2014_gemma-4-e4b-it-mxfp8_HPC_run1.json,complete,1d6c13f33d80b9cc27585e8f649b9796af43d9ad84fe180cb6e770af58a645a2,hpc_ag_table
evidence_prior_202608,EP-01,content/raw_responses/evidence_prior_202608/EP-01.json,data/reasoning_logs/evidence_prior_202608/EP-01.json,complete,1491dedb4d36ce57894c6837b57a3430bdf8a77c18f2f5a38ed1b96606fb7a1d,hpc_ag_table
evidence_prior_202608,EP-02,content/raw_responses/evidence_prior_202608/EP-02.json,data/reasoning_logs/evidence_prior_202608/EP-02.json,complete,6c6716a861d996e01b557404f89a36a9cb155ee2313f0f60251a37cd3ae0c851,hpc_ag_table
evidence_prior_202608,EP-03,content/raw_responses/evidence_prior_202608/EP-03.json,data/reasoning_logs/evidence_prior_202608/EP-03.json,complete,46378fffe2bb8bc9ab1e64efb07c1d0dce7f4c40912d0888efeead93597ad089,hpc_ag_table
