condition_id,paper_id,scientific_model,temperature,repeat,factor_id,factor,context,score,is_explicit_null,source,original_parse_status,completion_tokens,extractor_version
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,1,Subtractive Inhibition (SST),LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,1,Subtractive Inhibition (SST),GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,19,Feedforward Non-local Granular Activity (L4),GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,4,Habituation to Sequence,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,32,Interspecies Hierarchical Ubiquity,LO,0.5,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,32,Interspecies Hierarchical Ubiquity,GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,2,Divisive Inhibition (PV),LO,0.5,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,2,Divisive Inhibition (PV),GO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,25,Canonical Microcircuit Ubiquity,LO,1.0,False,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,25,Canonical Microcircuit Ubiquity,GO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,0.35,1,26,Hierarchical Mechanism Invariance,LO,,True,reasoning_prose_rescued,unrecoverable,8192,v2.3_bounded_prose_ast
