study_name,factor,h1_score,h2_score,h12_consensus,council_score,human_diff,human_council_diff,priority_tier
Attinger2017,LO-F01,1.0,1.0,1.0,0.6,0.0,0.4,Priority A (Human Consensus Disagrees with Council)
Attinger2017,LO-F03,1.0,0.8,0.9,0.6,0.19999999999999996,0.30000000000000004,Agreement / Low Divergence
Attinger2017,LO-F06,0.6,0.9,0.8,0.6,0.30000000000000004,0.20000000000000007,Agreement / Low Divergence
Attinger2017,LO-F09,1.0,0.9,0.9,0.6,0.09999999999999998,0.30000000000000004,Agreement / Low Divergence
Attinger2017,LO-F11,1.0,0.9,0.9,0.6,0.09999999999999998,0.30000000000000004,Agreement / Low Divergence
Attinger2017,LO-F13,0.2,0.9,0.6,0.6,0.7,0.0,Priority B (Human Raters Strongly Disagree / Rater Ambiguity)
Attinger2017,LO-F23,0.2,0.9,0.6,0.6,0.7,0.0,Priority B (Human Raters Strongly Disagree / Rater Ambiguity)
Attinger2017,GO-F11,1.0,-0.1,0.5,0.6,1.1,0.09999999999999998,Priority B (Human Raters Strongly Disagree / Rater Ambiguity)
Bastos2012,LO-F01,0.6,0.6,0.6,0.0,0.0,0.6,Priority A (Human Consensus Disagrees with Council)
Bastos2012,LO-F03,1.0,0.8,0.9,0.6,0.19999999999999996,0.30000000000000004,Agreement / Low Divergence
Bastos2012,LO-F06,1.0,0.9,0.9,0.8,0.09999999999999998,0.09999999999999998,Agreement / Low Divergence
Bastos2012,LO-F08,0.6,0.9,0.8,0.2,0.30000000000000004,0.6000000000000001,Priority C (Other Large Human-Council Divergence)
Bastos2012,LO-F10,1.0,0.9,0.9,0.6,0.09999999999999998,0.30000000000000004,Agreement / Low Divergence
Bastos2012,LO-F11,0.2,0.8,0.5,0.8,0.6000000000000001,0.30000000000000004,Priority B (Human Raters Strongly Disagree / Rater Ambiguity)
Bastos2012,LO-F13,1.0,1.0,1.0,0.2,0.0,0.8,Priority A (Human Consensus Disagrees with Council)
Bastos2012,LO-F16,1.0,1.0,1.0,0.6,0.0,0.4,Priority A (Human Consensus Disagrees with Council)
Bastos2012,LO-F18,1.0,1.0,1.0,0.6,0.0,0.4,Priority A (Human Consensus Disagrees with Council)
