paper_id,scientific_model,served_model_id,temperature,repeat,context,factor,score,condition_id,parse_status,is_recovered,parser_method
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Subtractive Inhibition (SST),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Divisive Inhibition (PV),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Inhibition (GABA),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Habituation to Sequence,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Synaptic Depression (Adaptation),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Activity Suppression,0.6,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Selective Sharpening,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Alpha/Beta Mediated Suppression,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,VIP-Mediated Disinhibition,0.7,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Precision Weighting (Gain),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,E/I Balance Shift,0.5,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Omission Response,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Feedforward Deviance Detection,0.7,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Feedforward AMPA,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Feedforward NMDA,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Feedforward Ascending Gamma,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Absence of Feedback Error,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Feedforward Non-local Supragranular Activity (L2/3),0.4,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Feedforward Non-local Granular Activity (L4),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Feedforward Non-local Directed Connectivity,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Feedforward Non-local Activation,0.3,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Ascending Latency Shift,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Feedforward Error Propagation,0.6,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Subcortical Feedforward Relaying,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Canonical Microcircuit Ubiquity,0.3,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Hierarchical Mechanism Invariance,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Hierarchical Activity Ubiquity,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Hierarchical CSD Ubiquity,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Cross-Scale Hierarchical Ubiquity,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Hierarchical Presence (V1-PFC),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Cross-Modal Ubiquity,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Interspecies Hierarchical Ubiquity,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Temporal Stability of Ubiquity,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Hierarchical Order Stability,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,Population-Wide Ubiquity,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,LO,State-Independent Ubiquity,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,GO,Subtractive Inhibition (SST),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,GO,Divisive Inhibition (PV),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,GO,Inhibition (GABA),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,GO,Habituation to Sequence,,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,GO,Synaptic Depression (Adaptation),,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,1,GO,Activity Suppression,0.6,Attinger2017__gemma-4-31b-it__T000__R01,recovered,True,extracted_json_block
