condition_id,paper_id,scientific_model,served_model_id,temperature,top_p,min_p,repeat,concurrency,http_status,latency_seconds,attempts,parse_status,parser_method,parser_version,is_valid,is_recovered,git_commit,request_start_timestamp,request_end_timestamp
Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,1,4,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__gemma-4-31b-it__T000__R02,Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,2,4,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__gemma-4-31b-it__T000__R03,Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,3,4,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__gemma-4-31b-it__T035__R01,Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.35,0.9,0.1,1,2,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__gemma-4-31b-it__T035__R02,Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.35,0.9,0.1,2,2,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__gemma-4-31b-it__T035__R03,Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.35,0.9,0.1,3,2,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__gemma-4-31b-it__T070__R01,Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.7,0.9,0.1,1,2,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__gemma-4-31b-it__T070__R02,Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.7,0.9,0.1,2,2,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__gemma-4-31b-it__T070__R03,Attinger2017,gemma-4-31b-it,gemma-4-31b-it,0.7,0.9,0.1,3,2,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__olmo-3-32b-think__T000__R01,Attinger2017,olmo-3-32b-think,olmo-3-32b-think-mlx,0.0,0.9,0.1,1,2,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__olmo-3-32b-think__T000__R02,Attinger2017,olmo-3-32b-think,olmo-3-32b-think-mlx,0.0,0.9,0.1,2,2,200,,1,recovered,extracted_json_block,v2.0_offline,False,True,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__olmo-3-32b-think__T000__R03,Attinger2017,olmo-3-32b-think,olmo-3-32b-think,0.0,0.9,0.1,3,1,400,,3,unrecoverable,failed,v2.0_offline,False,False,02912c2c0d6244f09312d1a26068fc0e648240c1,,
Attinger2017__olmo-3-32b-think__T035__R01,Attinger2017,olmo-3-32b-think,olmo-3-32b-think,0.35,0.9,0.1,1,1,200,,1,unrecoverable,failed,v2.0_offline,False,False,02912c2c0d6244f09312d1a26068fc0e648240c1,,
