result_id,reviewer_concern,file_name,file_path,observational_unit,inclusion_rule,aggregation_rule,source_data,generating_script,freeze_status,manual_dependency
RES-CORP-01,Major 3 / Corpus Registry,canonical_31_paper_corpus_registry.csv,content/tables/canonical_31_paper_corpus_registry.csv,Canonical Study (N=31),Peer-reviewed predictive processing literature corpus,"Bibliographic metadata, modalities, and SHA-256 hashes",Authoritative 31-paper catalog,Direct corpus curation / ingest pipeline,SEALED_IMMUTABLE,None
RES-MAJ1-01,Major 1,hexp01_hpca_scores.csv,content/tables/experts/human/hexp01_hpca_scores.csv,Nested Factor Cell (Paper x Context x Factor),"Canonical 31 papers, 72 factors","Raw single-expert scoring [-1.0, +1.0]",Independent Domain Expert 1 (Canonical),Direct expert submission / ingest pipeline,SEALED_IMMUTABLE,None
RES-MAJ1-02,Major 1,hexp02_hpca_scores.csv,content/tables/experts/human/hexp02_hpca_scores.csv,Nested Factor Cell (Paper x Context x Factor),"Canonical 31 papers, 72 factors","Raw single-expert scoring [-1.0, +1.0]",Independent Domain Expert 2 (ACM),Direct expert submission / ingest pipeline,SEALED_IMMUTABLE,None
RES-MAJ1-03,Major 1,human_consensus_h12_hpca_scores.csv,content/tables/human_consensus_h12_hpca_scores.csv,Nested Factor Cell (Paper x Context x Factor),"Jointly scored cells (n_human >= 2, N=299)",Arithmetic mean (H1 + H2) / 2,hexp01 + hexp02,compute_human_consensus.py,SEALED_IMMUTABLE,Optional H3 update
RES-MAJ1-04,Major 1,human_evaluator_influence.csv,content/tables/human_evaluator_influence.csv,Evaluator comparison x Support stratum,Available Support vs Common Support (N=175),"Descriptive Pearson r, Spearman rho, MAE, bias, concordance","hexp01, hexp02, h12, council_base",compute_human_influence.py,SEALED_IMMUTABLE,None
RES-MAJ1-05,Major 1,council_model_influence_human_alignment.csv,content/tables/council_model_influence_human_alignment.csv,Omitted council model x Support stratum,Fixed Common Support intersection (N=168) across all 9 conditions,Leave-One-Model-Out mean aggregation over remaining 7 models,h12 + 8 council model CSVs,compute_council_loo_influence.py,SEALED_IMMUTABLE,None
RES-MAJ1-06,Major 1,priority_a_passage_audit_packet.csv,content/tables/priority_a_passage_audit_packet.csv,Diagnostic factor cell (|H1-H2|<=0.3 and |H12-C|>=0.4),27 Priority-A failure mode cells,Algorithmic pre-audit classification -> manual passage adjudication,"h1, h2, h12, council_base",build_passage_audit_packet.py,SEALED_PENDING_MANUAL_VERDICTS,27 passage verdicts required
RES-MAJ2-01,Major 2,scores_31x3x3x3_primary.csv,content/tables/robustness_202608/scores_31x3x3x3_primary.csv,Repeated inference call x Factor (31x3x3x3 factorial),31 papers x 3 models x 3 temps x 3 repeats = 837 calls,"Exact parsed factor scores on [-1.0, +1.0]",837 LM Studio / vLLM API calls,src/jmllm/pipeline/robustness_runner.py,SEALED_IMMUTABLE,None
RES-MAJ2-02,Major 2,authoritative_robustness_summary.csv,content/tables/authoritative_robustness_summary.csv,Model x Temperature condition,Factorial summary across 837 repeated inference calls,"Descriptive mean r, MAE, Parse recovery %, Paper-ranking stability",scores_31x3x3x3_primary.csv,analyze_robustness_sweep.py,SEALED_IMMUTABLE,None
RES-MAJ2-03,Major 2,supplement_leave_one_out.csv,content/tables/supplement_leave_one_out.csv,Omitted council model (m=1..8),Authoritative 8-model council baseline,"Mean displacement delta [-0.1046, -0.0928]",hpc_table_original_council.csv,src/jmllm/analysis/lomo_analysis.py,SEALED_IMMUTABLE,None
RES-MAJ2-04,Major 2 / Corpus,supplement_westerberg_sensitivity.csv,content/tables/supplement_westerberg_sensitivity.csv,Corpus Stratum (Full N=28 vs Excluded N=27),Paired study comparison with vs without Westerberg & Xiong (2025),"Paired t-test, Wilcoxon signed-rank test, mean displacement delta",aggregated_scores.csv,analyze_westerberg_sensitivity.py,SEALED_IMMUTABLE,None
RES-MAJ2-05,Major 2 / Permutations,figure4_null_distributions.csv,content/tables/figure4_null_distributions.csv,"Permutation Null Model (B=10,000)",Global full-shuffle vs Within-hypothesis block shuffle,"Mean MSD, empirical p-value (p=0.0001), 95% CI",hpc_table_original_council.csv,compute_figure4_nulls.py,SEALED_IMMUTABLE,None
RES-MAJ3-01,Major 3,evidence_prior_scores_54.csv,content/tables/evidence_prior_scores_54.csv,Experimental ablation call x Paper x Factor,"6 papers x 3 conditions (Full, Abstract, De-id) x 3 repeats = 54 calls",Parsed scores and pairwise condition correlation,54 LM Studio experimental calls,src/jmllm/pipeline/evidence_prior_runner.py,SEALED_IMMUTABLE,None
RES-MAJ3-02,Major 3,evidence_prior_analysis_summary.csv,content/tables/evidence_prior_analysis_summary.csv,Condition contrast,"Full vs Masked (r=0.9937, MAE=0.0089) & Full vs Abstract (r=0.7274, MAE=0.0758)","Descriptive Condition Pearson r, MAE, delta displacement",evidence_prior_scores_54.csv,src/jmllm/analysis/evidence_prior_analysis.py,SEALED_IMMUTABLE,None
RES-MIN2-01,Minor 2,figure_description_grading_form.csv,content/tables/figure_description_grading_form.csv,Modal Figure (10 representative figures),"2P imaging, ECoG, EEG, Intracellular, In Silico models","3-axis grading (numeric extraction, effect direction, ontology mapping)",DeepRead markdown extractions vs primary publication figures,build_figure_grading_form.py,SEALED_PENDING_MANUAL_GRADES,10 figure manual grades required
