paper_id,full_source_path,nofigure_input_path,full_input_sha256,nofigure_input_sha256,full_characters,nofigure_characters,characters_removed,figure_blocks_removed,captions_preserved,ordinary_prose_preserved,baseline_model,baseline_temperature,baseline_repeat,baseline_score_record
Attinger2017,content/markdowns/Attinger2017-vllm-deepread.md,content/202608_temp/nofigure_inputs/Attinger2017__NO_FIGURE.md,ecd64b4ac4862252d1622580665c47feaa78556d2a7b41a9bdb438e4b5b7ec05,e73dc93a2151e6b3b795a77ea250200539d59c2f4032e78cf907cbbe7577533e,103753,102431,1322,8,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Bakhtiari2021,content/markdowns/Bakhtiari2021-vllm-deepread.md,content/202608_temp/nofigure_inputs/Bakhtiari2021__NO_FIGURE.md,616cdbd67a5659c1923219963c56308506d6ab356a1ac915dcfd13d1adfcba9d,fc398ee14ac3dac3e20ca38fdb10120a097fda560ee35e925c566b62e2c82e7d,59787,59424,363,5,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Bastos2012,content/markdowns/Bastos2012-vllm-deepread.md,content/202608_temp/nofigure_inputs/Bastos2012__NO_FIGURE.md,6bf4bee0bd749b139a8bb179aa198b09eed21da0915ceff19b917d6becbcde1b,4a1048f537c1710b21175cb4fc9b9e11a5b88e30731b0cf9b191325a7310866e,106572,105256,1316,8,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Bastos2020,content/markdowns/Bastos2020-vllm-deepread.md,content/202608_temp/nofigure_inputs/Bastos2020__NO_FIGURE.md,babaa48a487f423a26610967e180be29d11c0d5828f7f07aeff314d6f53dacb0,81c23e0ca03a9dfca375be26b4b8a79049da00ee8b0e8331d8dd25c937212aed,157200,152844,4356,22,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Bekinschtein2009,content/markdowns/Bekinschtein2009-vllm-deepread.md,content/202608_temp/nofigure_inputs/Bekinschtein2009__NO_FIGURE.md,3ef9e983cad040968ede504c3b50dbea1abcf9992d59d602b43f24d96035485a,8faffed15b7a7f69d464540c8108e61c5b5cf3d52ddc9c6d04484420991f8ead,68161,67170,991,7,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Chao2018,content/markdowns/Chao2018-vllm-deepread.md,content/202608_temp/nofigure_inputs/Chao2018__NO_FIGURE.md,415c8de3429f6235c74c00b8f556123a9bc4a6e60cab9856b58d1ab45d4c0d38,aea51050b972b476fc93a107bbbe1a8bc30909527f9c8b2566b027ca40feb3ae,149409,143057,6352,28,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Friston2010,content/markdowns/Friston2010-vllm-deepread.md,content/202608_temp/nofigure_inputs/Friston2010__NO_FIGURE.md,48a33032d3217c8430e32736caa22c1eea234bbd738cf6b760e080d8a08a4d05,f635ffa5068bbe3e9d896cf93a42d2182cbff1a54161a7dabcc545b9d384bd4b,148724,146544,2180,18,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Furutachi2024,content/markdowns/Furutachi2024-vllm-deepread.md,content/202608_temp/nofigure_inputs/Furutachi2024__NO_FIGURE.md,4dcf34b32251622a79133e7b478f3b7a9aeb793d3a3f27275e0e95f015211544,379ef7a80e5d4bc97c1f82a1d08d8471e0a38d0875e65f357b84975f8eeeb738,294781,285447,9334,43,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Garret2020,content/markdowns/Garret2020-vllm-deepread.md,content/202608_temp/nofigure_inputs/Garret2020__NO_FIGURE.md,1f7e010d0d1954aacd6793f83c88dd0f3a313d58eb12ef28a9d76fe6dddfec78,b04b6d86c36bdcaa3be711c2a09c660eba9384eb9ac53e36c99a08cbf01792ab,166302,162071,4231,20,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Greedy2022,content/markdowns/Greedy2022-vllm-deepread.md,content/202608_temp/nofigure_inputs/Greedy2022__NO_FIGURE.md,900bae62a8869b148b7c18adf2a94dfa6e1bcb4da1bdd1da3484d57a04384024,358067c36c46895656e7fa076ce16236554c355b44738b5d19b08a656c56612c,91971,90158,1813,12,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Hertag2020,content/markdowns/Hertag2020-vllm-deepread.md,content/202608_temp/nofigure_inputs/Hertag2020__NO_FIGURE.md,cfe5b52a1d323ff0f384451856fd6803d596206ceaa03f4d27fc8e65992001ed,e646d0984ab85c18116dcbff0c9a35f70ca3c669b87cdfbb80c41f5f08a711a9,129967,123375,6592,13,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Jiang&Rao2024,content/markdowns/Jiang&Rao2024-vllm-deepread.md,content/202608_temp/nofigure_inputs/Jiang&Rao2024__NO_FIGURE.md,27a0f3fb75019038a115ba6da16426e0fd31d89936ef96c044d5cbc3f963b00c,e5691dd056780684c9d260e11eeaa64cee3c1c2595b57bc9118e222e8147d093,129476,128200,1276,9,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Keller2012,content/markdowns/Keller2012-vllm-deepread.md,content/202608_temp/nofigure_inputs/Keller2012__NO_FIGURE.md,b35d8e022eeaf0829856ed75fdcad2bef37cb4622e3e04ef089e7c58e4e6ce77,06739281c666d8bbf30427027d35a49e3002e7240355f3b6f981ba03431256fb,67981,66138,1843,10,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Keller2018,content/markdowns/Keller2018-vllm-deepread.md,content/202608_temp/nofigure_inputs/Keller2018__NO_FIGURE.md,c5932c4e56999dd8eb7c28994fcd005e8d4e4dd2a2dcfb5bf79405c5c92ef3e7,5372ab03495fae3f7562479b48437e545420c21d1f780bba7bf9faddc9a073fa,66104,65799,305,1,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
Kiebel2008,content/markdowns/Kiebel2008-vllm-deepread.md,content/202608_temp/nofigure_inputs/Kiebel2008__NO_FIGURE.md,81668686cd20b783d27f002d599f2c6e274eb831be2dcf42f937c0e7ff31f185,b3a0b0f39b01c1d132acb608258071843376660d2230d73d8790e0305b18845c,81022,79861,1161,10,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
LaoRodriguez2023,content/markdowns/LaoRodriguez2023-vllm-deepread.md,content/202608_temp/nofigure_inputs/LaoRodriguez2023__NO_FIGURE.md,df2c94b426db2e92865ba6974f354d1665d9abd6f66755814b3de133d9fca95f,dee17890a6f1fd8ffe97bad9f8506cb03a990942c470c934f2b157913a1c7bbc,133557,132204,1353,10,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
LeeMejias2025,content/markdowns/LeeMejias2025-vllm-deepread.md,content/202608_temp/nofigure_inputs/LeeMejias2025__NO_FIGURE.md,9d0e4c8fc87a99b52c6cb29ee81bc97485e97acdc722ab68acd57230c5a05cbe,87f32609edf1ef35bcfccc3641b266f2498aafa6d707d41f765804a8bdf9b3ad,115149,114298,851,9,YES,YES,gemma-4-31b-it,0.0,1,scores_31x3x3x3_primary.csv
