study_name,figure_identifier,source_pdf_page,source_figure_verified,caption_verified,modality_original,modality_verified,historical_description_source_file,historical_description_verified,historical_prompt_source_file,historical_prompt_verified,pipeline_hpc36_mapping,mapping_provenance_verified,qa_notes
Attinger2017,Figure 2,Page 5,YES,YES,2-Photon Calcium Imaging (Mouse V1),YES (In vivo 2-photon calcium imaging & visuomotor virtual reality),content/markdowns/Attinger2017-vllm-deepread.md,YES (Matches exact DeepRead output in repository),src/jmllm/pipeline/deepread/prompts.py,YES (FIGURE_DESCRIPTION_PROMPT + caption integration),"LO-F01, LO-F06, LO-F13",YES (Historical downstream evaluation mapping),Verified exact PDF Page 5 and DeepRead markdown.
Garret2020,Figure 3,Page 6,YES,YES,2-Photon Calcium Imaging (Mouse Visual Cortex),YES (2-photon imaging of excitatory L2/3 and VIP interneurons),content/markdowns/Garret2020-vllm-deepread.md,YES (Matches exact DeepRead output in repository),src/jmllm/pipeline/deepread/prompts.py,YES (FIGURE_DESCRIPTION_PROMPT + caption integration),"LO-F04, LO-F06, LO-F09, LO-F12",YES (Historical downstream evaluation mapping),Verified image reduction and omission responses in excitatory/VIP cells.
Bastos2020,Figure 4,Page 5,YES,YES,Laminar ECoG / LFP Recording (Non-Human Primate),YES (Laminar multielectrode array electrophysiology in macaque),content/markdowns/Bastos2020-vllm-deepread.md,YES (Matches exact DeepRead output in repository),src/jmllm/pipeline/deepread/prompts.py,YES (FIGURE_DESCRIPTION_PROMPT + caption integration),"LO-F08, LO-F16, LO-F18",YES (Historical downstream evaluation mapping),Verified laminar power and MUA modulation in deep vs superficial layers.
Chao2018,Figure 3,Page 5,YES,YES,High-Density ECoG Grid (Non-Human Primate),YES (Subdural ECoG grid across macaque temporal/parietal/frontal cortex),content/markdowns/Chao2018-vllm-deepread.md,YES (Matches exact DeepRead output in repository),src/jmllm/pipeline/deepread/prompts.py,YES (FIGURE_DESCRIPTION_PROMPT + caption integration),"LO-F16, GO-F16, GO-F27",YES (Historical downstream evaluation mapping),Verified time-frequency spectrograms and cluster permutation tests.
Bekinschtein2009,Figure 2,Page 2,YES,YES,Scalp High-Density EEG (Human),YES (128-channel high-density scalp EEG in awake human subjects),content/markdowns/Bekinschtein2009-vllm-deepread.md,YES (Matches exact DeepRead output in repository),src/jmllm/pipeline/deepread/prompts.py,YES (FIGURE_DESCRIPTION_PROMPT + caption integration),"LO-F13, GO-F13, GO-F27",YES (Historical downstream evaluation mapping),Verified scalp voltage maps of local MMN vs global P3b effects.
LaoRodriguez2023,Figure 3,Page 5,YES,YES,Scalp EEG & Auditory ERPs (Human),"CORRECTED (In vivo extracellular single-unit electrophysiology in rodent AC, awake vs anesthetized)",content/markdowns/LaoRodriguez2023-vllm-deepread.md,YES (Matches exact DeepRead output in repository),src/jmllm/pipeline/deepread/prompts.py,YES (FIGURE_DESCRIPTION_PROMPT + caption integration),"LO-F12, LO-F36",YES (Historical downstream evaluation mapping),Corrected modality metadata: Figure 3 presents single-unit firing rates in awake/anesthetized rat and mouse auditory cortex.
Srinivasan1982,Figure 1,Page 4,YES,YES,Intracellular Recording (Insect / Fly Compound Eye),YES (Intracellular recording of fly retinal large monopolar cells / theoretical model),content/markdowns/Srinivasan1982-vllm-deepread.md,YES (Matches exact DeepRead output in repository),src/jmllm/pipeline/deepread/prompts.py,YES (FIGURE_DESCRIPTION_PROMPT + caption integration),"LO-F01, LO-F07",YES (Historical downstream evaluation mapping),Verified intensity-response curve and predictive redundancy reduction.
Nejad2025,Figure 2,Page 3,YES,YES,Intracranial Electrophysiology (Non-Human Primate),CORRECTED (Computational theory & spiking neural network of laminar self-supervised learning),content/markdowns/Nejad2025-vllm-deepread.md,YES (Matches exact DeepRead output in repository),src/jmllm/pipeline/deepread/prompts.py,YES (FIGURE_DESCRIPTION_PROMPT + caption integration),"LO-F18, LO-F19, LO-F28",YES (Historical downstream evaluation mapping),"Corrected modality metadata: Nejad et al. 2025 is a computational modeling paper modeling L2/3, L4, and L5 connectivity."
Hertag2020,Figure 2,Page 4,YES,YES,Biophysical Spiking Neural Network (In Silico),YES (Biophysical spiking neural network circuit model of SST/PV/VIP dynamics),content/markdowns/Hertag2020-vllm-deepread.md,YES (Matches exact DeepRead output in repository),src/jmllm/pipeline/deepread/prompts.py,YES (FIGURE_DESCRIPTION_PROMPT + caption integration),"LO-F01, LO-F02, LO-F11",YES (Preserves historical LO-F02 mapping without revision-era modification),Preserves historical LO-F02 mapping for human grader adjudication.
LeeMejias2025,Figure 4,Page 8,YES,YES,Multi-Regional Spiking Network (In Silico),YES (Large-scale multi-regional spiking neural network model of primate cortex),content/markdowns/LeeMejias2025-vllm-deepread.md,YES (Matches exact DeepRead output in repository),src/jmllm/pipeline/deepread/prompts.py,YES (FIGURE_DESCRIPTION_PROMPT + caption integration),"LO-F08, LO-F16, LO-F25",YES (Historical downstream evaluation mapping),Verified emergent gamma oscillations in PE microcircuits and phase portraits.
