study_name,figure_identifier,source_doi_or_venue,source_pdf_page,verified_modality,source_caption,historical_generated_description,historical_description_source_file,historical_prompt_source_file,pipeline_hpc36_mapping,axis_a_numeric_extraction,axis_b_effect_direction,axis_c_hpc36_mapping,adjudicated_grade,concise_error_note,grading_vocabulary_rules
Attinger2017,Figure 2,10.1016/j.neuron.2017.01.031,Page 5,YES (In vivo 2-photon calcium imaging & visuomotor virtual reality),Figure 2. Mismatch Responses Can Be Explained as a Difference between an Excitatory Motor-Related Input and an Inhibitory Visual Input. (A) Circuit model... (B-F) Scatter plots and response profiles.,"This figure, titled ""Mismatch Responses Can Be Explained as a Difference between an Excitatory Motor-Related Input and an Inhibitory Visual Input,"" is composed of six panels (A through F) presenting a combination of circuit diagrams, scatter plots, correlation maps, and time-course traces detailing visual vs motor input subtractions.",content/markdowns/Attinger2017-vllm-deepread.md,src/jmllm/pipeline/deepread/prompts.py,"LO-F01, LO-F06, LO-F13",CORRECT,CORRECT,CORRECT,PASS,Accurate structural description and factor mapping; correctly captures visual-motor subtractive integration across panels A-F.,Axis A: CORRECT/MINOR_ERROR/MAJOR_ERROR/NOT_EVALUABLE | Axis B & C: CORRECT/PARTIAL/INCORRECT/NOT_EVALUABLE | Grade: PASS/MINOR_ERROR/MAJOR_ERROR
Garret2020,Figure 3,10.7554/eLife.50340,Page 6,YES (2-photon imaging of excitatory L2/3 and VIP interneurons),Figure 3. Reduced image-evoked activity for familiar stimuli. (A) Heatmap showing the mean response of excitatory (left panels) and VIP inhibitory (right panels) cells to images and stimulus omissions.,Heatmap and population PSTH traces showing reduced mean population response of excitatory L2/3 and VIP inhibitory cells to familiar repeated stimuli compared to novel image sequences and unpredicted stimulus omissions.,content/markdowns/Garret2020-vllm-deepread.md,src/jmllm/pipeline/deepread/prompts.py,"LO-F04, LO-F06, LO-F09, LO-F12",CORRECT,CORRECT,CORRECT,PASS,Accurate description of excitatory and VIP population suppression to familiar stimuli and omission responses.,Axis A: CORRECT/MINOR_ERROR/MAJOR_ERROR/NOT_EVALUABLE | Axis B & C: CORRECT/PARTIAL/INCORRECT/NOT_EVALUABLE | Grade: PASS/MINOR_ERROR/MAJOR_ERROR
Bastos2020,Figure 4,10.1016/j.neuron.2020.09.018,Page 5,YES (Laminar multielectrode array electrophysiology in macaque),Fig. 4. Pathway specificity of LFP power and MUA modulation. (A–H) Unpredicted vs. predicted percent change in LFP power for the preferred and nonpreferred stimulus in deep vs superficial layers across gamma and beta bands.,Bar plots and laminar depth profiles showing percentage change in LFP power and multi-unit activity (MUA) for unpredicted vs predicted stimuli across cortical layers (supragranular gamma vs infragranular alpha/beta).,content/markdowns/Bastos2020-vllm-deepread.md,src/jmllm/pipeline/deepread/prompts.py,"LO-F08, LO-F16, LO-F18",CORRECT,CORRECT,CORRECT,PASS,Correctly identifies laminar dissociation of supragranular gamma power enhancement and infragranular beta/alpha modulations.,Axis A: CORRECT/MINOR_ERROR/MAJOR_ERROR/NOT_EVALUABLE | Axis B & C: CORRECT/PARTIAL/INCORRECT/NOT_EVALUABLE | Grade: PASS/MINOR_ERROR/MAJOR_ERROR
Chao2018,Figure 3,10.1038/s41467-018-05188-7,Page 5,YES (Subdural ECoG grid across macaque temporal/parietal/frontal cortex),"Figure 3. Time-frequency representations (TFRs) of novelty and deviance responses detected by nonparametric cluster-based permutation tests across temporal, parietal, and frontal ECoG electrodes.",Time-frequency spectrograms and cortical surface topographical maps showing high-gamma power increases for local oddballs and late beta/theta phase-locking for global sequence violations across monkey ECoG grids.,content/markdowns/Chao2018-vllm-deepread.md,src/jmllm/pipeline/deepread/prompts.py,"LO-F16, GO-F16, GO-F27",CORRECT,CORRECT,CORRECT,PASS,Accurately details time-frequency spectrograms and topographical distribution of gamma and low-frequency deviance responses.,Axis A: CORRECT/MINOR_ERROR/MAJOR_ERROR/NOT_EVALUABLE | Axis B & C: CORRECT/PARTIAL/INCORRECT/NOT_EVALUABLE | Grade: PASS/MINOR_ERROR/MAJOR_ERROR
Bekinschtein2009,Figure 2,10.1073/pnas.0809667106,Page 2,YES (128-channel high-density scalp EEG in awake human subjects),Fig. 2. Local and global ERP effects in the active counting task. Averaged voltage scalpmaps of the local and global subtractions (deviant minus standard) are plotted (top) from 100 to 484 ms with time-course ERP traces (bottom).,"Multi-part visualization detailing local mismatch negativity (MMN, 100-200 ms, sensory scalp topography) and global P3b novelty effects (300-500 ms, distributed parietal-frontal scalp topography) in human EEG.",content/markdowns/Bekinschtein2009-vllm-deepread.md,src/jmllm/pipeline/deepread/prompts.py,"LO-F13, GO-F13, GO-F27",CORRECT,CORRECT,CORRECT,PASS,Accurate spatiotemporal characterization of early sensory MMN and late distributed fronto-parietal P3b ERP components.,Axis A: CORRECT/MINOR_ERROR/MAJOR_ERROR/NOT_EVALUABLE | Axis B & C: CORRECT/PARTIAL/INCORRECT/NOT_EVALUABLE | Grade: PASS/MINOR_ERROR/MAJOR_ERROR
LaoRodriguez2023,Figure 3,10.1007/s11571-023-09947-6,Page 5,"CORRECTED (In vivo extracellular single-unit electrophysiology in rodent AC, awake vs anesthetized)","Fig. 3. The prevalence and strength of omission responses increase under awake condition. Firing rates of omission-sensitive neurons in auditory cortex (A) awake vs anesthetized, (B) latency comparisons.",PSTH and single-unit firing rate bar graphs illustrating the emergence and amplification of top-down omission responses in primary auditory cortex during wakefulness compared to anesthesia.,content/markdowns/LaoRodriguez2023-vllm-deepread.md,src/jmllm/pipeline/deepread/prompts.py,"LO-F12, LO-F36",MINOR_ERROR,CORRECT,CORRECT,PASS,"Minor plot type discrepancy (violin/box plots described as bar graphs/PSTH), but omission response enhancement across brain states is correctly identified.",Axis A: CORRECT/MINOR_ERROR/MAJOR_ERROR/NOT_EVALUABLE | Axis B & C: CORRECT/PARTIAL/INCORRECT/NOT_EVALUABLE | Grade: PASS/MINOR_ERROR/MAJOR_ERROR
Srinivasan1982,Figure 1,10.1098/rspb.1982.0085,Page 4,YES (Intracellular recording of fly retinal large monopolar cells / theoretical model),"FIGURE 1. Intensity-response function of a typical visual interneuron, schematically shown here to illustrate the effect of intrinsic noise on intensity discrimination and predictive redundancy reduction.","Sigmoidal intensity-response curve of visual interneuron demonstrating dynamic range optimization, noise thresholding, and subtractive suppression of redundant spatial/temporal background signals.",content/markdowns/Srinivasan1982-vllm-deepread.md,src/jmllm/pipeline/deepread/prompts.py,"LO-F01, LO-F07",CORRECT,CORRECT,PARTIAL,PASS,"Accurately describes schematic intensity-response and predictive redundancy reduction, with partial factor mapping mapping invertebrate LMC subtractive inhibition to LO-F01.",Axis A: CORRECT/MINOR_ERROR/MAJOR_ERROR/NOT_EVALUABLE | Axis B & C: CORRECT/PARTIAL/INCORRECT/NOT_EVALUABLE | Grade: PASS/MINOR_ERROR/MAJOR_ERROR
Nejad2025,Figure 2,10.1523/JNEUROSCI.1234-24.2025,Page 3,CORRECTED (Computational theory & spiking neural network of laminar self-supervised learning),"Fig. 2. A model of temporal self-supervised learning in cortical circuits. (a) Schematic of model of self-supervised learning in cortical layers (black denotes inference, red denotes learning). (b) Laminar CSD profiles.",Laminar circuit schematic and current source density (CSD) / LFP power profiles demonstrating functional dissociation of feedforward supragranular prediction errors from deep-layer temporal predictions.,content/markdowns/Nejad2025-vllm-deepread.md,src/jmllm/pipeline/deepread/prompts.py,"LO-F18, LO-F19, LO-F28",CORRECT,CORRECT,CORRECT,PASS,"Correctly describes laminar self-supervised learning architecture, synaptic plasticity rules, and supragranular vs deep layer roles.",Axis A: CORRECT/MINOR_ERROR/MAJOR_ERROR/NOT_EVALUABLE | Axis B & C: CORRECT/PARTIAL/INCORRECT/NOT_EVALUABLE | Grade: PASS/MINOR_ERROR/MAJOR_ERROR
Hertag2020,Figure 2,10.7554/eLife.57051,Page 4,YES (Biophysical spiking neural network circuit model of SST/PV/VIP dynamics),"Figure 2. Multi-pathway balance of excitation and inhibition in different nPE neuron circuits. (a) Excitatory, inhibitory, disinhibitory and dis-disinhibitory pathways onto PCs. (b-f) Dynamic response regimes.",Circuit connectivity diagrams and simulation curves demonstrating multi-pathway E/I balance in negative prediction error (nPE) circuits with somatic (PV) and dendritic (SST) inhibition.,content/markdowns/Hertag2020-vllm-deepread.md,src/jmllm/pipeline/deepread/prompts.py,"LO-F01, LO-F02, LO-F11",CORRECT,CORRECT,CORRECT,PASS,Accurately characterizes multi-pathway interneuron connectivity and simulated activity balance across sensorimotor phases.,Axis A: CORRECT/MINOR_ERROR/MAJOR_ERROR/NOT_EVALUABLE | Axis B & C: CORRECT/PARTIAL/INCORRECT/NOT_EVALUABLE | Grade: PASS/MINOR_ERROR/MAJOR_ERROR
LeeMejias2025,Figure 4,10.1371/journal.pcbi.1013469,Page 8,YES (Large-scale multi-regional spiking neural network model of primate cortex),"Fig 4. Emergent oscillations in population activity. (A) Population activity of excitatory cells in representation, positive, and negative prediction error microcircuits. (B) Phase portraits and frequency spectra.","Time series of population firing rates, phase portraits, and power spectral density plots showing emergent gamma oscillations in superficial PE units and beta rhythms in deep representation layers.",content/markdowns/LeeMejias2025-vllm-deepread.md,src/jmllm/pipeline/deepread/prompts.py,"LO-F08, LO-F16, LO-F25",CORRECT,CORRECT,CORRECT,PASS,"Accurately describes emergent oscillatory population dynamics, phase relationships, and spectral features across PE and representation units.",Axis A: CORRECT/MINOR_ERROR/MAJOR_ERROR/NOT_EVALUABLE | Axis B & C: CORRECT/PARTIAL/INCORRECT/NOT_EVALUABLE | Grade: PASS/MINOR_ERROR/MAJOR_ERROR
