call_id,paper_id,condition,repeat,scientific_model,served_model_id,temperature,top_p,min_p,input_file,input_sha256,latency_seconds,parse_status,parser_method,status,raw_file,timestamp
NOFIG__Attinger2017__gemma-4-31b-it__T000__R01,Attinger2017,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Attinger2017__NO_FIGURE.md,e73dc93a2151e6b3b795a77ea250200539d59c2f4032e78cf907cbbe7577533e,555.7678830623627,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Attinger2017__gemma-4-31b-it__T000__R01.json,2026-08-26T17:09:25.846715+00:00
NOFIG__Bakhtiari2021__gemma-4-31b-it__T000__R01,Bakhtiari2021,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Bakhtiari2021__NO_FIGURE.md,fc398ee14ac3dac3e20ca38fdb10120a097fda560ee35e925c566b62e2c82e7d,299.28174209594727,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Bakhtiari2021__gemma-4-31b-it__T000__R01.json,2026-08-26T17:14:25.138969+00:00
NOFIG__Bastos2012__gemma-4-31b-it__T000__R01,Bastos2012,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Bastos2012__NO_FIGURE.md,4a1048f537c1710b21175cb4fc9b9e11a5b88e30731b0cf9b191325a7310866e,488.4839050769806,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Bastos2012__gemma-4-31b-it__T000__R01.json,2026-08-26T17:22:33.628224+00:00
NOFIG__Bastos2020__gemma-4-31b-it__T000__R01,Bastos2020,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Bastos2020__NO_FIGURE.md,81c23e0ca03a9dfca375be26b4b8a79049da00ee8b0e8331d8dd25c937212aed,176.58722162246704,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Bastos2020__gemma-4-31b-it__T000__R01.json,2026-08-26T17:35:42.826731+00:00
NOFIG__Bekinschtein2009__gemma-4-31b-it__T000__R01,Bekinschtein2009,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Bekinschtein2009__NO_FIGURE.md,8faffed15b7a7f69d464540c8108e61c5b5cf3d52ddc9c6d04484420991f8ead,382.88972997665405,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Bekinschtein2009__gemma-4-31b-it__T000__R01.json,2026-08-26T17:42:05.740321+00:00
NOFIG__Chao2018__gemma-4-31b-it__T000__R01,Chao2018,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Chao2018__NO_FIGURE.md,aea51050b972b476fc93a107bbbe1a8bc30909527f9c8b2566b027ca40feb3ae,660.7339069843292,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Chao2018__gemma-4-31b-it__T000__R01.json,2026-08-26T17:53:06.481533+00:00
NOFIG__Friston2010__gemma-4-31b-it__T000__R01,Friston2010,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Friston2010__NO_FIGURE.md,f635ffa5068bbe3e9d896cf93a42d2182cbff1a54161a7dabcc545b9d384bd4b,722.678869009018,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Friston2010__gemma-4-31b-it__T000__R01.json,2026-08-26T18:05:09.170636+00:00
NOFIG__Furutachi2024__gemma-4-31b-it__T000__R01,Furutachi2024,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Furutachi2024__NO_FIGURE.md,379ef7a80e5d4bc97c1f82a1d08d8471e0a38d0875e65f357b84975f8eeeb738,1661.0088801383972,valid,cleaned_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Furutachi2024__gemma-4-31b-it__T000__R01.json,2026-08-26T18:32:50.198827+00:00
NOFIG__Garret2020__gemma-4-31b-it__T000__R01,Garret2020,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Garret2020__NO_FIGURE.md,b04b6d86c36bdcaa3be711c2a09c660eba9384eb9ac53e36c99a08cbf01792ab,765.1230659484863,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Garret2020__gemma-4-31b-it__T000__R01.json,2026-08-26T18:45:35.349974+00:00
NOFIG__Greedy2022__gemma-4-31b-it__T000__R01,Greedy2022,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Greedy2022__NO_FIGURE.md,358067c36c46895656e7fa076ce16236554c355b44738b5d19b08a656c56612c,437.7912278175354,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Greedy2022__gemma-4-31b-it__T000__R01.json,2026-08-26T18:52:53.155938+00:00
NOFIG__Hertag2020__gemma-4-31b-it__T000__R01,Hertag2020,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Hertag2020__NO_FIGURE.md,e646d0984ab85c18116dcbff0c9a35f70ca3c669b87cdfbb80c41f5f08a711a9,595.5971329212189,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Hertag2020__gemma-4-31b-it__T000__R01.json,2026-08-26T19:02:48.763112+00:00
NOFIG__Jiang&Rao2024__gemma-4-31b-it__T000__R01,Jiang&Rao2024,NO_FIGURE_TEXT,1,gemma-4-31b-it,gemma-4-31b-it,0.0,0.9,0.1,content/202608_temp/nofigure_inputs/Jiang&Rao2024__NO_FIGURE.md,e5691dd056780684c9d260e11eeaa64cee3c1c2595b57bc9118e222e8147d093,596.4867117404938,valid,strict_json,COMPLETED,content/raw_responses/figure_text_ablation_202608/NOFIG__Jiang&Rao2024__gemma-4-31b-it__T000__R01.json,2026-08-26T19:12:45.267463+00:00
