audit_id,study_name,context,factor_code,factor_name,factor_definition,h1_score,h2_score,h12_consensus,council_score,disagreement_type,source_file,source_page,source_section,source_figure_table,evidence_paraphrase,evidence_direction,evidence_strength,human_supported,council_supported,manual_verdict,manual_notes,audit_status,source_location_verified,evidence_type,context_specificity,verification_note
PA-01,Attinger2017,Local Oddball (LO),LO-F01,Subtractive Inhibition (SST),Linear suppression of input via somatic inhibition (Somatostatin-mediated).,1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Attinger2017.pdf,Pages 6-8,Results: Somatostatin-Expressing Interneurons Mediate Visuomotor Feedback Mismatch,Figure 3 / Figure 4,Optogenetic activation and 2-photon imaging demonstrate SST interneurons provide subtractive inhibition onto L2/3 pyramidal neurons during visuomotor mismatch.,POSITIVE,STRONG,YES,YES,HUMAN_BETTER,Direct optogenetic and two-photon calcium imaging demonstrate that SST interneurons mediate subtractive inhibition during sensorimotor mismatch. The strong score (1.0) better reflects this direct causal empirical evidence than the attenuated council score.,evidence_assembled_ready_for_adjudication,CORRECTED,EMPIRICAL_DIRECT,DIRECT,Empirical optogenetics directly confirms SST subtractive suppression during sensorimotor mismatch.
PA-02,Bastos2012,Local Oddball (LO),LO-F01,Subtractive Inhibition (SST),Linear suppression of input via somatic inhibition (Somatostatin-mediated).,0.6,0.6,0.6,0.0,Null Council (Council missed mechanism),content/inputs/Bastos2012.pdf,Pages 2-4 (pp. 696-698),Canonical Microcircuit Model of Predictive Coding,Figure 2 / Figure 3,Theoretical framework specifies inhibitory interneurons providing subtractive feedback prediction onto pyramidal cells; SST subtype is conceptualized rather than isolated cell-specifically.,POSITIVE,MODERATE,PARTIAL,YES,BOTH_PLAUSIBLE,Bastos 2012 proposes generic interneuron-mediated subtractive inhibition within a theoretical microcircuit without empirical SST cell-type specificity. Both human moderate scoring of the general mechanism and council zero-scoring for lack of cell-type specificity are plausible.,evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,INDIRECT,Theoretical microcircuit paper; models subtractive inhibition without isolated SST genetic targeting.
PA-03,Bastos2012,Local Oddball (LO),LO-F13,Feedforward Deviance Detection,Detection of mismatch signals that explicitly propagate in the feedforward (ascending) direction to higher cortical areas.,1.0,1.0,1.0,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Bastos2012.pdf,Pages 2-4 (pp. 696-698),Laminar Specificity of Prediction Errors,Figure 1 / Figure 2,Review and theoretical synthesis posits superficial (L2/3) pyramidal cells compute prediction error mismatch signals routed ascendingly to higher cortical areas.,POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"The paper formulates an explicit theoretical framework and anatomical synthesis where superficial pyramidal cells generate feedforward prediction errors. Human consensus of 1.0 correctly reflects this core theoretical contribution, whereas council under-scores it as weak.",evidence_assembled_ready_for_adjudication,YES,THEORETICAL_MODEL,DIRECT,Formulates explicit mathematical and anatomical framework for ascending feedforward error signals.
PA-04,Bastos2012,Local Oddball (LO),LO-F16,Feedforward Ascending Gamma,Rhythmic synchronization (30-90Hz) that temporally packages prediction-error signals for efficient feedforward transmission.,1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Bastos2012.pdf,Pages 6-8 (pp. 700-702),Spectral Asymmetries in Predictive Coding: Gamma vs Beta,Figure 4 / Table 1,Synthesizes electrophysiological evidence that ascending feedforward error signals are transmitted in gamma-band (30-90 Hz) channels.,POSITIVE,STRONG,YES,YES,BOTH_PLAUSIBLE,Bastos 2012 synthesizes substantial electrophysiological and theoretical evidence establishing that ascending prediction errors are transmitted via gamma-band synchronization. Both strong (1.0) and moderate (0.6) positive support scores are plausible representations of this review synthesis.,evidence_assembled_ready_for_adjudication,CORRECTED,REVIEW_SYNTHESIS,DIRECT,Review of visual LFP literature establishing gamma-band routing for feedforward prediction errors.
PA-05,Bastos2012,Local Oddball (LO),LO-F18,Feedforward Non-local Supragranular Activity (L2/3),"Error-signaling neurons in Layers 2/3 projecting strictly into the next area, and NOT projecting inside the column serving as the primary anatomical source for feedforward signal propagation.",1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Bastos2012.pdf,Pages 3-5 (pp. 697-699),Superficial vs Deep Layer Projections,Figure 3,Anatomical review details superficial L2/3 pyramidal neurons sending ascending non-local feedforward projections to target granular layer 4 upstream.,POSITIVE,STRONG,YES,YES,BOTH_PLAUSIBLE,The paper synthesizes anatomical and physiological evidence establishing L2/3 supragranular pyramidal neurons as the primary source of ascending feedforward error signals. Both human (1.0) and council (0.6) ratings are reasonably supported.,evidence_assembled_ready_for_adjudication,YES,REVIEW_SYNTHESIS,DIRECT,Synthesizes primate tracing literature confirming L2/3 supragranular source of ascending feedforward pathways.
PA-06,Bastos2012,Global Oddball (GO),GO-F13,Feedforward Deviance Detection,Detection of mismatch signals that explicitly propagate in the feedforward (ascending) direction to higher cortical areas.,1.0,1.0,1.0,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Bastos2012.pdf,Pages 9-11 (pp. 703-705),Hierarchical Generalization and Temporal Scales,Figure 5,Proposes hierarchical message passing scales from low-level sensory oddballs to global rule violations via ascending feedforward hierarchy.,POSITIVE,STRONG,PARTIAL,YES,BOTH_PLAUSIBLE,"Bastos 2012 extends predictive coding theoretically to hierarchical temporal scales, but provides no empirical global oddball experiment. Council lower score (0.2) reflects the lack of direct GO experimental testing, while human (1.0) scores the general theoretical mechanism.",evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,INDIRECT,Extends predictive coding theoretically to global temporal rules across hierarchical timescales.
PA-07,Bastos2012,Global Oddball (GO),GO-F16,Feedforward Ascending Gamma,Rhythmic synchronization (30-90Hz) that temporally packages prediction-error signals for efficient feedforward transmission.,1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Bastos2012.pdf,Pages 7-9 (pp. 701-703),Spectral Fingerprints Across Cortical Levels,Figure 4,Argues that ascending gamma synchronization remains the canonical carrier for feedforward prediction errors across higher cognitive/global levels.,POSITIVE,STRONG,YES,YES,BOTH_PLAUSIBLE,The theoretical model generalizes gamma-mediated feedforward error routing across hierarchical cortical levels. Both scores plausibly reflect positive support for the theoretical principle.,evidence_assembled_ready_for_adjudication,YES,THEORETICAL_MODEL,INDIRECT,Generalizes gamma-mediated error routing to higher cortical levels.
PA-08,Bastos2012,Global Oddball (GO),GO-F18,Feedforward Non-local Supragranular Activity (L2/3),"Error-signaling neurons in Layers 2/3 projecting strictly into the next area, and NOT projecting inside the column serving as the primary anatomical source for feedforward signal propagation.",1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Bastos2012.pdf,Pages 3-5 (pp. 697-699),Laminar Wiring Across Hierarchy,Figure 3,Argues supragranular L2/3 error units maintain ascending projections across hierarchical levels in global sequence contexts.,POSITIVE,STRONG,YES,YES,BOTH_PLAUSIBLE,Bastos 2012 outlines a general structural architecture wherein L2/3 neurons drive ascending hierarchy. Both 1.0 and 0.6 are plausible scores for this theoretical generalization.,evidence_assembled_ready_for_adjudication,YES,THEORETICAL_MODEL,GENERAL_ONLY,Structural architectural claim applicable generally across hierarchy.
PA-09,Bastos2012,Global Oddball (GO),GO-F23,Feedforward Error Propagation,Explicit experimental evidence that the prediction error signal is transmitted primarily via feedforward propagation pathways.,1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Bastos2012.pdf,Pages 2-3 (pp. 696-697),Feedforward Error Message Passing,Figure 1,Establishes foundational principle that prediction errors are transmitted ascendingly along feedforward pathways.,POSITIVE,STRONG,YES,YES,BOTH_PLAUSIBLE,Bastos 2012 synthesizes extensive literature supporting ascending feedforward error propagation across the hierarchy. Both human (1.0) and council (0.6) scores appropriately reflect positive support.,evidence_assembled_ready_for_adjudication,YES,THEORETICAL_MODEL,GENERAL_ONLY,Theoretical postulate of hierarchical predictive coding.
PA-10,Bastos2020,Global Oddball (GO),GO-F18,Feedforward Non-local Supragranular Activity (L2/3),"Error-signaling neurons in Layers 2/3 projecting strictly into the next area, and NOT projecting inside the column serving as the primary anatomical source for feedforward signal propagation.",1.0,1.0,1.0,0.6,Magnitude Attenuation (Council under-scoring),content/inputs/Bastos2020.pdf,Pages 4-7 (pp. 124-127),"Laminar Electrophysiology in Primate V1, V4, and PFC",Figure 3 / Figure 4,Multi-area laminar recordings in macaque visual and frontal cortex show supragranular layers exhibit elevated gamma power and non-local spike-field coherence during oddballs.,POSITIVE,STRONG,YES,YES,HUMAN_BETTER,Multi-area laminar electrophysiology in primates directly demonstrates elevated gamma and supragranular activity during oddball processing across hierarchy. The human score of 1.0 better captures this direct empirical validation.,evidence_assembled_ready_for_adjudication,CORRECTED,EMPIRICAL_DIRECT,DIRECT,Direct primate laminar electrophysiology verifying L2/3 supragranular activation.
PA-11,Bekinschtein2009,Local Oddball (LO),LO-F27,Hierarchical Activity Ubiquity,"The ubiquitous presence of prediction-error activity, detectable across all or most levels of the system brain hierarchy.",0.2,0.5,0.3,0.8,Null Council (Council missed mechanism),content/inputs/Bekinschtein2009.pdf,Pages 2-4 (pp. 1673-1675),Local vs Global Deviance in Scalp EEG,Figure 2 / Figure 3,"Human scalp EEG shows local mismatch (MMN) is sensory/temporally localized, whereas global deviance (P3b) elicits widespread fronto-parietal activity; ubiquitous local oddball activity across all levels is not observed.",AMBIGUOUS,MODERATE,YES,NO,HUMAN_BETTER,"Bekinschtein et al. explicitly show that local oddball responses are restricted to sensory auditory cortex and are not ubiquitous across the brain hierarchy. Human consensus (0.3) correctly reflects the lack of hierarchical ubiquity in LO, whereas council high score (0.8) conflates LO with GO.",evidence_assembled_ready_for_adjudication,CORRECTED,EMPIRICAL_DIRECT,DIRECT,Directly tests local vs global dissociation; local mismatch is anatomically restricted rather than ubiquitous.
PA-12,Hertag2020,Local Oddball (LO),LO-F01,Subtractive Inhibition (SST),Linear suppression of input via somatic inhibition (Somatostatin-mediated).,1.0,0.9,0.9,0.2,Magnitude Attenuation (Council under-scoring),content/inputs/Hertag2020.pdf,Pages 4-6,Subtractive Inhibition Mediated by Somatostatin Interneurons,Figure 3 / Figure 4,Biophysical spiking circuit model shows SST interneurons deliver subtractive dendritic inhibition that shifts f-I curves during predictable local sensory sequences.,POSITIVE,STRONG,YES,PARTIAL,HUMAN_BETTER,"Hertag and Sprekeler biophysical network model specifically investigates SOM-mediated subtractive inhibition as the key mechanism for negative prediction error computation. The human consensus of 0.9 accurately captures this primary computational result, which council heavily under-scores (0.2).",evidence_assembled_ready_for_adjudication,CORRECTED,THEORETICAL_MODEL,DIRECT,Computational spiking model demonstrating subtractive inhibition mechanism.
