paper_id,publication_year,full_citation,journal_venue,study_class,modality_preparation,species_substrate,relationship_to_westerberg,compressed_file,sha256_hash,verification_status
Attinger2017,2017,"Attinger, A., Wang, B., & Keller, G.B.",Neuron,Empirical,2-Photon Calcium Imaging,Mouse V1,Classic Visuomotor Baseline,Attinger2017-vllm-deepread_compressed.md,882c236a5f5df65b7f6e25b16340d182c1b948ff00cca919c7399fe4105a00ac,verified_bibliographic
Bakhtiari2021,2021,"Bakhtiari, S. et al.",Nature Communications,Computational / ANN,Deep Neural Networks / Task Optimization,In Silico,Hierarchical Stream Specialization,Bakhtiari2021-vllm-deepread_compressed.md,416c835e623a23db4e7266085996dffa248e17d5943e751730926570bfb0c88f,verified_bibliographic
Bastos2012,2012,"Bastos, A.M. et al.",Neuron,Theory / Computational,Canonical Microcircuit Framework,In Silico / Theory,Theoretical Foundation for Laminar Asymmetries,Bastos2012-vllm-deepread_compressed.md,38d22499a55663be22b105a04f24d1781bfbd4e738b82c49b709253f432ab227,verified_bibliographic
Bastos2020,2020,"Bastos, A.M. et al.",Neuron,Empirical,Laminar ECoG / LFP Recording,Non-Human Primate (Macaque),Laminar Rhythm Specificity,Bastos2020-vllm-deepread_compressed.md,6770829da1400735e64ddfb44bcd51fa0c88bdb359430811a857ac68f4d629f2,verified_bibliographic
Bekinschtein2009,2009,"Bekinschtein, T.A. et al.",PNAS,Empirical,Scalp High-Density EEG,Human,Local-Global Oddball Paradigm Originator,Bekinschtein2009-vllm-deepread_compressed.md,5a07b4f6db2713870559748fcdd7a49e89ff15ff9030ba238248d43dbdc08191,verified_bibliographic
Chao2018,2018,"Chao, Z.C., Takaura, K., et al.",Nature Communications,Empirical,High-Density ECoG Grid,Non-Human Primate (Macaque),Large-Scale Cortical Prediction Hierarchy,Chao2018-vllm-deepread_compressed.md,6784a9a646fc81d437c21938a819e96280abbcfcd73e5b1fdec7b793f3035eac,verified_bibliographic
Friston2010,2010,"Friston, K.",Nature Reviews Neuroscience,Theory / Computational,Free-Energy Principle Framework,In Silico / Theory,Theoretical Foundation for Hierarchical Inference,Friston2010-vllm-deepread_compressed.md,a75dcb81569809ae80e71d786c3af04af51c76c0e995863f47687baff9dbf934,verified_bibliographic
Furutachi2024,2024,"Furutachi, S. et al.",Neuron,Empirical,2-Photon Imaging & Optogenetics,Mouse V1,VIP/SST Disinhibitory Microcircuitry,Furutachi2024-vllm-deepread_compressed.md,73211329b15cd528b8ed67a092e60c37a94050d0a8d9c0e76eded9178c110fa4,verified_bibliographic
Garret2020,2020,"Garrett, M. et al.",eLife,Empirical,2-Photon Calcium Imaging,Mouse Visual Cortex,Novelty vs. Deviance Coding Baseline,Garret2020-vllm-deepread_compressed.md,ce4e52ef5ef4f2db4716c2b46866dbe23a46dd117d3c635f8a120b1a01424b1a,verified_bibliographic
Greedy2022,2022,"Greedy, W. et al.",Frontiers in Comput. Neurosci.,Computational / ANN,Predictive Coding Networks,In Silico,Single-Phase Error Propagation Model,Greedy2022-vllm-deepread_compressed.md,8c701abff82ab31e7d8f125c2c2d792dd594eccf70d09fc65ae7dce8798f5dd2,verified_bibliographic
Hertag2020,2020,"Hertäg, L. & Sprekeler, H.",eLife,Computational / Biophysical,Spiking Neural Network (EI Microcircuit),In Silico,Biophysical Circuit Model of SST/PV Dynamics,Hertag2020-vllm-deepread_compressed.md,6a803a5ef5869c3eff47aeaf5dfb64d4052e8cdedfb09d64470f48ed05fb21cf,verified_bibliographic
Jiang&Rao2024,2024,"Jiang, L. & Rao, R.P.N.",Neural Computation,Computational,Predictive Coding Energy-Based Model,In Silico,Dynamic Predictive Hierarchy Model,Jiang&Rao2024-vllm-deepread_compressed.md,e02824945232b01edcc61991d5232153d2ae6b766ef942eb31741cbd02df0763,verified_bibliographic
Keller2012,2012,"Keller, G.B., Bonhoeffer, T., Hubener, M.",Neuron,Empirical,2-Photon Calcium Imaging,Mouse V1,Visuomotor Mismatch (Negative Prediction Error),Keller2012-vllm-deepread_compressed.md,c025228bf9ada0708d53de13344eec137ea7ca2e0f0d509634631f94f3fdebc1,verified_bibliographic
Keller2018,2018,"Keller, G.B. & Mrsic-Flogel, T.D.",Neuron,Review / Synthesis,Cortical Computation Framework,In Silico / Synthesis,Definitive Review of Laminar Predictive Circuits,Keller2018-vllm-deepread_compressed.md,ac53d8473fe22425c802b7d2a1681728f34dcfaddda0d470bc9e9e59cd6c46ee,verified_bibliographic
Kiebel2008,2008,"Kiebel, S.J., Daunizeau, J., Friston, K.",PLoS Computational Biology,Computational,Hierarchical Dynamic Models,In Silico,Hierarchy of Temporal Receptive Windows,Kiebel2008-vllm-deepread_compressed.md,93cc3a07c59af0a38656b732a3c8369572b3ed7958e24ad4455528f11ac13972,verified_bibliographic
LaoRodriguez2023,2023,"Lao-Rodríguez, A.B. et al.",Cognitive Neurodynamics,Empirical,Scalp EEG & Auditory ERPs,Human,Mismatch Negativity (MMN) Hierarchy,LaoRodriguez2023-vllm-deepread_compressed.md,e1970ce342e33f8912bf8558d4cf33021a5bd7fd915f4c8acacbc672f5ac5efe,verified_bibliographic
LeeMejias2025,2025,"Lee, J. & Mejias, J.F.",PLoS Computational Biology,Computational / Large-Scale,Multi-Area Spiking Network,In Silico,Primate Multi-Regional Predictive Oscillations,LeeMejias2025-vllm-deepread_compressed.md,63e7c92945a9a415c51470bcf22398215685b847ed3dcd78000afd9def5a3959,verified_bibliographic
